id,question,answer
1;Taking sugary drinks helps to maintain my immunity level;FALSE
2;Antibiotics do not treat cold and flu;TRUE
3;Antibiotic-resistant infections could make medical procedures like surgery and organ transplants less dangerous;FALSE
4;When having a cold/flu,one need not rest at home.;FALSE
5;Frequent handwashing helps to prevent spread of diseases;TRUE
6;Antibiotics can treat bacterial infections;TRUE
7;Getting at least 7 hours of rest helps to keep us healthy.;TRUE
8;Healthy people do not need to get vaccination;FALSE
9;Flu vaccination can protect me from all diseases;FALSE
10;Bacteria can be resistant to antibiotics;TRUE
